Company,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed,last_updated,id_code,country,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_other,end_target_year,end_target_status,status_date,interim_target,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,carbon_credit_offsets,carbon_credit_conditions,annual_revenue_billions
Kansas City Southern,Electric Utilities,Production of electricity nec,-128.56%,-513.83%,"-27,536,033,234","-26,942,219,586","-6,391,921","-354,769,319","-83,001,559","-1,144,280","-3,239,024","-145,943,321","675,777",2%,10/24/21 14:44,COM-1601,USA,Company,SG1U68934629,No,Emissions reduction target,42,2019,,2034,Declaration / pledge,2021,Emissions intensity target,Kansas City Southern commits to reduce scope 1 and 2 GHG emissions 42% per million gross ton-miles by 2034 from a 2019 base year.,"KCS intends to reduce its GHG emissions intensity by at least 12% by the year 2025, from a 2018 base year - https://www.kcsouthern.com/pdf/community/kcs-2019-sustainability-report.pdf","Science-based target: https://sciencebasedtargets.org/companies-taking-action#table

https://www.businesswire.com/news/home/20210119005050/en/Kansas-City-Southern-Commits-to-Setting-a-Science-Based-Emissions-Reduction-Target",https://www.kcsouthern.com/corporate-responsibility/our-commitment/KCS-2019-Sustainability-Report.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,No,No,,No,,Annual reporting,No,Not Specified,Not Specified,,2.9
Kasikornbank,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",-0.31%,-1.64%,"-29,079,110","-28,241,398","-8,105","-370,119","-86,359","-1,329","-21,863","-353,992","4,055",17%,11/22/21 4:58,COM-0932,THA,Company,TH0016010009,No,Net zero,,,,2030,Declaration / pledge,2021,No target,net zero in operations (Scope 1 and 2) by 2030,,,https://kasikornbank.com/en/News/Pages/Net-Zero-Commitment.aspx,Not Specified,,,,,Yes,Yes,Not Specified,No,,No,,No reporting mechanism,,Not Specified,Not Specified,,8.9
Kellogg Company,Packaged Foods & Meats,Processing of Food products nec,-2.43%,-22.85%,"-329,945,638","-287,276,937","-73,994","-3,861,020","-892,440","-12,870","-51,887","-37,802,304","25,814",9%,7/21/22 0:33,COM-0876,USA,Company,US4878361082,No,Science-based target,,,,2050,Declaration / pledge,2020,No target,Kellogg also has a long-term target of a 65% absolute reduction in emissions by 2050 from a 2015 base-year (scopes 1 & 2),,,https://sciencebasedtargets.org/companies-taking-action/case-studies/kellogg,Carbon dioxide only,,,,,Yes,Yes,Partial,No,,No,,No reporting mechanism,No,Not Specified,Not Specified,,13.5
Keppel,Office REITs ,"Financial intermediation, except insurance and pension funding (65)",-4.48%,-63.04%,"-6,060,864","-5,555,826","-1,294","-73,812","-17,299",-233,-312,"-412,145",58,2%,11/21/21 8:45,COM-1441,SGP,Company,,No,Emissions reduction target,28.8,2010,,2030,In corporate strategy,2018,No target,28.8% reduction in carbon emissions intensity from 2010 levels by 2030. ,,,https://www.kepcorp.com/en/file/sustainability/sustainability-reports/kcl-sr-20.pdf,Carbon dioxide only,,,,,Yes,Yes,Yes,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Measures for all emission scopes that are covered by the target",Annual reporting,No,Not Specified,Yes,Other conditions,5.8
Kering,"Apparel, Accessories & Luxury Goods",Manufacture of wearing apparel; dressing and dyeing of fur (18),4.25%,14.21%,"756,135,558","739,869,121","165,392","9,762,327","2,314,987","30,336","-31,187","4,008,688","15,894",3%,9/21/22 18:35,COM-0131,FRA,Company,FR0000121485,Yes,Net zero,,,,2050,In corporate strategy,2021,Other,Race to Zero: Net Zero 2050  -  Commit to achieve net zero CO2 emissions by 2050,,"Other URL
https://www.kering.com/en/news/kering-commits-to-full-carbon-neutrality-across-the-group
https://www.kering.com/en/sustainability/mitigating-climate-change/",https://keringcorporate.dam.kering.com/m/3832efa4c93e4a96/original/KERING_ClimateStrategy2021.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,Yes,Measures for all emission scopes that are covered by the target,Annual reporting,No,Not Specified,Yes,No conditions specified,14.9
Kerry,Air Freight & Logistics,Air transport (62),-1.14%,-18.50%,"-60,409,444","-52,042,395","-35,615","-751,639","-159,656","-5,155",-29,"-7,499,170","84,214",9%,11/5/21 16:08,COM-0363,IRL,Company,,No,Net zero,,,,2050,In corporate strategy,2021,Emissions reduction target,"net zero
before 2050","Increasing our Carbon Reduction Target to 55% for Scope 1 & 2 emissions by 2030 and net zero before 2050

This relates to the reduction of greenhouse gas emissions by Kerry Group as
expressed in carbon equivalents. For Scope 1 and 2 emissions, we are
targeting a reduction in absolute emissions versus a 2017 baseline, where
Scope 1 emissions are direct emissions from owned or controlled sources and
Scope 2 emissions are indirect emissions from the generation of purchased
energy","Interim target is a 1.5C science based target, but new so not on the sbt website

Additional Target:
Kerry Group PLC also commits to reduce Scope 3 GHG emissions 30% per tonne of finished product by 2030 from a 2017 base year.
https://sciencebasedtargets.org/companies-taking-action#table",https://www.kerrygroup.com/investors/events/Virtual-Capital-Markets-Day-2020-Performance-and-Targets.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Not Specified,,"GHGs are all measured in accordance with the GHG Protocol, Scope 2 emissions calculated using market-based method. More information in their GRI Sustainability Report (Source: https://www.kerrygroup.com/annual-report/assets/pdfs/KGAR21_GRI_Sustainability.pdf)
(Source: https://www.kerrygroup.com/annual-report/assets/pdfs/KGAR21_Sustainability_Review.pdf)

Scope 3 currently still in research according to 2021 Sustainability Report

""achieving net zero
emissions from our operations before
2050.""
https://www.kerrygroup.com/annual-report/assets/pdfs/KGAR2020_Sustainability_Review.pdf

The interim target is scopes 1 and 2
With a separate target for scope 3 emission intensity target",No,,Annual reporting,No,Not Specified,Not Specified,,8.1
Kerry Properties,Diversified Real Estate Activities ,Real estate activities (70),-2.11%,-5.19%,"-48,854,199","-39,586,134","-9,395","-522,145","-122,208","-1,665","-9,374","-8,603,729",451,4%,11/24/21 1:39,COM-1562,HKG,Company,US49338L1035,No,Emissions reduction target,30,2011,,2020,Achieved (self-declared),2020,No target,"Carbon intensity reduction targets of 30% in Hong Kong operation and 10% in the Mainland operation by 2020, with the base year 2011 and 2015 respectively. By 2020, Kerry Properties achieved and exceeded the target requirement. ",,https://www.kerryprops.com/en/csr/environment,https://www.kerryprops.com/srreport/2020/pdf/en/KPL_SR2020_EN.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"The GHG calculations cover Carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O) and hydrofluorocarbons (HFCs) while Perfluorocarbons (PFCs), sulphur hexafluoride (SF6) and nitrogen trifluoride (NF3) are not applicable.",Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,No,No,,2.4
Kesko,Food Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.33%,,"-39,496,254","-37,657,087","-8,687","-492,010","-115,185","-1,566","-1,868","-1,219,914",64,5%,11/4/21 6:29,COM-0132,FIN,Company,FI0009000202,Yes,Net zero,,,,2050,In corporate strategy,2020,Other,Race to Zero: Net Zero 2050  -  Commit to achieve net zero CO2 emissions by 2050,,https://www.kesko.fi/globalassets/03-sijoittaja/raporttikeskus/2021/q1/kesko_annual_report_2020_sustainability.pdf,"https://www.kesko.fi/en/media/news-and-releases/news/2020/k-group-raises-climate-goals-to-a-new-level-carbon-neutral-by-2025-zero-emissions-by-2030/#:~:text=We%20will%20systematically%20reduce%20emissions,and%20transports%20by%20year%202030.&text=Our%20objective%20is%20to%20eventually,President%20and%20CEO%20of%20Kesko",Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"nitrogen oxides (nOx), sulphur oxides (SOx) and other significant air emissions.

promote the sustainable use of natural resources in supply chains.

Scope 1 emissions are caused by fuel consumption for generating heat at properties managed by Kesko and for the transportation of goods controlled by Kesko.
Scope 2 emissions are caused by the generation of electricity purchased by Kesko, electricity used by Kesko and district heat consumed in properties managed by Kesko.
Scope 3 emissions are caused by the life cycle emissions of sold products and services, such as the primary production of raw materials, the manufacture of products, packaging, transportation and the use of products. ",Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures|Measures for all emission scopes that are covered by the target",Annual reporting,No,No,,,12.065
Keurig Dr Pepper,Soft Drinks,Manufacture of beverages,-1.67%,-7.87%,"-185,610,204","-105,718,592","-34,867","-1,398,830","-321,748","-5,563","-81,536","-78,080,973","31,905",18%,8/9/22 16:02,COM-0732,USA,Company,US49271V1008,No,Emissions reduction target,30,2018,,2030,In corporate strategy,2020,Other,"""2030 Reduce Scope 1 and 2 emissions by 30% 
2030 Reduce Scope 3 emissions in select categories by 15%""
""Our current 2030 emissions-reduction targets, validated by the Science Based Target initiative (SBTi), are aligned to levels required to meet the Paris Agreement climate change goal of limiting global warming to well below 2°C.""

From CDP reporting:
""In 2019, we laid the groundwork for important new climate goals to reduce greenhouse gas (GHG) emissions from the 2018 baseline developed for our newly merged company. This foundation included a corporate policy, governance structures and greater transparency, including reporting to CDP Climate. In 2020 we set new science-based climate targets. We commit to:
- Reduce absolute Scope 1 and 2 GHG emissions by 30% by 2030
- Reduce absolute Scope 3 emissions in select categories by 15% by 2030
- Ensure our suppliers and bottlers representing 50% of our emissions will have Science Based Targets by 2024""","""2025 Obtain 100% of electricity from renewable sources
2024 Engage bottlers and select suppliers representing 50% of Scope 3 emissions to set a science-based target""","Keurig Dr Pepper pledges to reduce their Scope 1 and 2 emissions by 30%, and to reduce select Scope 3 emissions by 15%, both by 2030 from a baseline year of 2018. They state these targets have been validated by the Science Based Target initiative (SBTi) to align with the 'well below 2°C' pathway.

They have interim targets of engaging bottlers and suppliers representing 50% of their Scope 3 emissions to set their own science-based targets by 2024, and to source 100% of their electricity from renewable sources by 2025.

For all reports, see: https://www.keurigdrpepper.com/content/keurig-brand-sites/kdp/en/our-company/corporate-responsbility/reporting.html",https://www.keurigdrpepper.com/content/dam/keurig-brand-sites/kdp/files/KDP-CR-Report-2021.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,"Gases: Reporting for Scope 1 emissions includes CO2, CH4, N2O, and HFCs. - CDP reporting, pg. 26

Scopes: Targets are to ""Reduce absolute Scope 1 and 2 GHG emissions"" and ""Reduce absolute Scope 3 emissions in select categories"" - CDP reporting, pg. 44
https://www.keurigdrpepper.com/content/dam/keurig-brand-sites/kdp/files/CDP_Climate_FY_2020.pdf

On Scope 3 boundaries: ""The categories included in KDP's absolute reduction commitment of scope 3 GHG emissions are purchased goods and services (PET and glass packaging), fuel and energy-related activities, upstream transportation and distribution and the use of sold products. These categories account for approximately 20% of our Scope 3 emissions."" - 2021 CR report, pg. 60",Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Information on the emission reductions expected from these measures within a certain time period|Schedule for regular review of measures",Annual reporting,No,Not Specified,Not Specified,,11.2
KeyCorp,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",-0.19%,-0.72%,"-14,463,289","-14,146,392","-4,277","-187,582","-43,807",-704,"-6,616","-77,005","3,095",20%,10/18/21 10:44,COM-0827,USA,Company,US4932671088,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,7.6
Keysight Technologies,Electronic Equipment & Instruments ,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.76%,-4.59%,"-32,515,072","-24,904,151","-7,441","-323,512","-73,585","-1,218","-12,606","-7,197,811","5,252",23%,10/23/21 16:55,COM-1406,USA,Company,CA4969024047,No,Net zero,,,,2040,Declaration / pledge,2021,Emissions reduction target,"In May 2021, Keysight announced that the company will achieve net zero emissions in
company operations (Scope 1 and Scope 2) by end of fiscal year 2040, a decade ahead of the
Paris Agreement’s timeline.","By the end of fiscal year 2030 – the company commits to 55% renewable energy and 10% energy
reduction through efficiency and conservation initiatives (based on fiscal year 2019 baseline)
",,https://www.keysight.com/us/en/assets/7018-06607/brochures/5992-3927.pdf,Carbon dioxide only,,,,,Yes,Yes,No,No,,No,,Annual reporting,No,Not Specified,Yes,No conditions specified,4.4
Kimberly-Clark,Household Products,Chemicals nec,-11.48%,-64.57%,"-2,118,682,354","-1,280,705,415","-323,187","-17,149,151","-3,838,306","-54,003","-991,995","-815,654,054","33,759",6%,6/18/22 16:37,COM-0278,USA,Company,US4943681035,No,Science-based target,,,,2030,In corporate strategy,2020,Emissions reduction target,"Kimberly-Clark’s ambitions for 2030 include a commitment to reduce the carbon footprint of its operations and supply chain for its trusted brands, including Huggies®, Kleenex®, Cottonelle®, Scott®, Kotex® and Depend® by 50 percent for absolute Scope 1 and Scope 2 GHG emissions (direct and indirect) from its operations. The commitment also includes a 20 percent reduction in absolute Scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products. Both targets are based on a new 2015 base year.

Reducing the carbon footprint of our products means owning comprehensive climate goals based on four pillars:
Driving Greater Energy Efficiency Throughout Our Operations
Enacting Innovative Conservation Efforts
Embracing Tomorrow's Alternative/Renewable Energy Technologies
Taking Responsibility for Driving Emissions Reductions Across Our Full Value Chain ","Kimberly-Clark previously doubled its 2022 GHG reduction target from 20 percent to 40 percent after meeting its initial 2022 goal four years ahead of schedule. In 2019, the company achieved a 34.7 percent reduction in Scope 1 and Scope 2 emissions over a 2005 baseline.

 ",targets aligned with SBTI (scienced-based targets initiative),https://www.prnewswire.com/news-releases/kimberly-clark-receives-sbti-approval-for-its-expanded-science-based-climate-goals-301081538.html,Not Specified,,,,,Yes,Yes,Partial,No,,Yes,Measures for all emission scopes that are covered by the target,No reporting mechanism,No,No,Not Specified,,18.8
Kimberly-Clark,Household Products,Chemicals nec,-12.66%,-61.89%,"-290,903,562","-254,712,142","-53,733","-3,339,128","-732,171","-9,981","-767,259","-31,281,860","-7,289",13%,6/18/22 16:37,COM-0278,USA,Company,US4943681035,No,Science-based target,,,,2030,In corporate strategy,2020,Emissions reduction target,"Kimberly-Clark’s ambitions for 2030 include a commitment to reduce the carbon footprint of its operations and supply chain for its trusted brands, including Huggies®, Kleenex®, Cottonelle®, Scott®, Kotex® and Depend® by 50 percent for absolute Scope 1 and Scope 2 GHG emissions (direct and indirect) from its operations. The commitment also includes a 20 percent reduction in absolute Scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products. Both targets are based on a new 2015 base year.

Reducing the carbon footprint of our products means owning comprehensive climate goals based on four pillars:
Driving Greater Energy Efficiency Throughout Our Operations
Enacting Innovative Conservation Efforts
Embracing Tomorrow's Alternative/Renewable Energy Technologies
Taking Responsibility for Driving Emissions Reductions Across Our Full Value Chain ","Kimberly-Clark previously doubled its 2022 GHG reduction target from 20 percent to 40 percent after meeting its initial 2022 goal four years ahead of schedule. In 2019, the company achieved a 34.7 percent reduction in Scope 1 and Scope 2 emissions over a 2005 baseline.

 ",targets aligned with SBTI (scienced-based targets initiative),https://www.prnewswire.com/news-releases/kimberly-clark-receives-sbti-approval-for-its-expanded-science-based-climate-goals-301081538.html,Not Specified,,,,,Yes,Yes,Partial,No,,Yes,Measures for all emission scopes that are covered by the target,No reporting mechanism,No,No,Not Specified,,18.8
Kingfisher,Home Improvement Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.63%,-13.64%,"-96,973,673","-94,859,064","-23,196","-1,257,186","-294,655","-4,098","-21,336","-518,099","3,963",6%,10/19/21 23:24,COM-0114,GBR,Company,GB0033195214,Yes,Net zero,,,,2050,Declaration / pledge,2021,Emissions reduction target,"https://www.kingfisher.com/en/media/news/kingfisher-news/2021/kingfisher-joins-forces-with-other-retailers-to-tackle-climate-c.html
","Reduce Scope 1 & 2 emissions from property and transport by c.38% in absolute terms by 2025, compared to 2016; and
Reduce Scope 3 emissions from the supply chain and customer use of products by 40% per £million of turnover by 2025, compared to 2017.",joins UN race to 0,https://www.kingfisher.com/en/media/news/kingfisher-news/2021/kingfisher-plc-announces-new-2025-carbon-reduction-targets---app.html,Carbon dioxide only,,,,,Yes,Yes,Yes,No,,No,,No reporting mechanism,No,Not Specified,Not Specified,,14.9
Kingspan,Building Products,Construction (45),-2.12%,-20.92%,"-110,745,776","-108,342,126","-24,727","-1,444,279","-337,140","-4,506",-298,"-592,839",140,1%,8/1/22 7:46,COM-0161,IRL,Company,,Yes,Net zero,,,,2030,In corporate strategy,2021,Emissions intensity target,"""Net Zero Carbon Manufacturing scope 1 & 2 emissions by 2030""","- 50% reduction in product CO2e intensity from primary suppliers by 2030
",https://viewer.ipaper.io/kingspan/pp-report-2022/planet-passionate-report-2021/?page=5 ,https://annual-report.kingspan.com/wp-content/uploads/2022/02/KS_AR21_consolidated_FA_DIGITAL.pdf,Carbon dioxide only,,,,,Yes,Yes,Partial,,"scope 3: ""- 50% reduction in product CO2e intensity from primary suppliers by 2030""",Yes,"Information on the emission reductions expected from these measures within a certain time period|Schedule for regular review of measures|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Not Specified,Yes,No conditions specified,5.215
Kinross Gold,Gold,Mining of other non-ferrous metal ores and concentrates,-15.54%,-83.53%,"-553,627,383","-384,794,731","-142,494","-4,825,367","-1,146,125","-19,018","-244,588","-162,518,043","62,982",9%,10/18/21 10:44,COM-1696,CAN,Company,JP3260800002,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,3.5
Kirin Holdings,Brewers,Manufacture of beverages,-1.63%,-19.22%,"-290,984,361","-283,439,344","-68,518","-3,768,856","-880,455","-12,209","-38,408","-2,788,056","11,484",1%,10/23/21 12:39,COM-0069,JPN,Company,JP3258000003,Yes,Net zero,,,,2050,In corporate strategy,2020,Emissions reduction target,Race to Zero: Net Zero 2050  -  Commit to achieve net zero CO2 emissions by 2050,"GHG emission reduction rate ‒ Scopes 1 +Scopes 2 -30% (2030, compared with 2015 levels）",https://www.kirinholdings.com/en/investors/files/pdf/environmental2020_1_03e.pdf,https://www.kirinholdings.co.jp/english/csv/env/climatechange.html,Not Specified,,,,,Yes,Yes,Yes,,,No,,No reporting mechanism,No,Not Specified,Not Specified,,0.017918547
Klepierre,Retail REITs,"Financial intermediation, except insurance and pension funding (65)",-2.13%,-3.75%,"-36,956,866","-21,573,093","-6,255","-279,180","-65,222","-1,040","-9,212","-15,026,746","3,882",15%,5/19/22 17:33,COM-0460,FRA,Company,FR0000121964,No,Carbon neutral(ity),,,,2030,In corporate strategy,2020,Emissions reduction target,,"100% renewables energy by 2022
40% reduction in energy consumption from 2013 by 2022"," https://6fefcbb86e61af1b2fc4-c70d8ead6ced550b4d987d7c03fcdd1d.ssl.cf3.rackcdn.com/comfy/cms/files/files/000/002/279/original/Stories-of-Change-2018.pdf
https://www.klepierre.com/en/finance/klepierre-2019-non-financial-data-en
https://www.klepierre.com/en/finance/societe-generale-esgsri-conference-presentation-en
https://www.klepierre.com/en/notre-identite/l-engagement-rse/l-engagement-climat
https://www.klepierre.com/files/d430165d/klepierre_rse_2021_uk_mel.pdf",https://www.klepierre.com/en/finance/2020-universal-registration-document,Not Specified,,,,,Yes,Yes,Partial,,,Yes,,Annual reporting,No,Yes,Not Specified,,1.8
Kohl's,Department Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.82%,-13.50%,"-163,609,513","-160,048,647","-39,316","-2,130,307","-499,163","-6,966","-15,528","-877,679","8,093",6%,6/20/22 9:18,COM-1262,USA,Company,JP3284600008,No,Net zero,,,,2050,In corporate strategy,2021,Emissions reduction target,"'Additionally, Kohl’s is committed to reducing our carbon footprint to reach net zero by 2050. ' (p9)","'Kohl’s climate action goals are focused on the reduction of greenhouse gas emissions and increase of renewable energy use. We are committed to reducing our combined scope 1 and 2 greenhouse gas emissions by 50% versus a 2014 baseline by 2025.' (p11)
https://corporate.kohls.com/content/dam/kohlscorp/corporate-responsibility/landing-page/Kohls-ESG%20Report.pdf

'Reduce greenhouse gas emissions in Kohl’s-owned operations by 50% versus 2014 baseline by 2025.'
https://www.businesswire.com/news/home/20190904005181/en/Kohl%E2%80%99s-Announces-2025-Sustainability-Goals-with-Focus-on-Climate-Action-Waste-and-Recycling-and-Sustainable-Sourcing

",This codes for Kohl's 2021 ESG Report,https://corporate.kohls.com/content/dam/kohlscorp/corporate-responsibility/landing-page/Kohls-ESG%20Report.pdf,Not Specified,,,,,Yes,Yes,No,No,Scope: covers 1&2 (p11),No,,Annual reporting,No,Yes,Yes,No conditions specified,20
Koito Manufacturing,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-0.25%,-1.99%,"-18,631,934","-17,756,042","-4,906","-241,808","-54,334",-815,"-6,327","-569,942","2,241",13%,10/18/21 10:44,COM-1655,JPN,Company,FI4000312251,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,7.5
Korea Shipbuilding & Offshore Engineering,Construction Machinery & Heavy Trucks,"Manufacture of motor vehicles, trailers and semi-trailers (34)",-1.29%,-69.24%,"-169,989,605","-159,288,705","-36,605","-2,120,348","-490,970","-6,582","-49,433","-7,996,357",-605,3%,10/20/21 18:30,COM-1550,KOR,Company,TH0150010Z03,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,13.5
Korean Air,Airlines,Air transport (62),-18.80%,-947.44%,"-2,064,863,671","-2,015,371,009","-1,151,188","-28,970,842","-6,673,461","-166,107","-351,086","-14,380,270","2,200,292",2%,10/19/21 23:59,COM-1610,KOR,Company,KR7036460004,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,10.9
Kotak Mahindra Bank,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",-0.12%,-0.53%,"-7,841,215","-7,579,305","-2,069","-99,322","-23,193",-352,"-1,852","-136,136","1,016",16%,10/18/21 10:44,COM-0792,IND,Company,INE237A01028,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,7.4
Kroger,Food Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-1.56%,-78.54%,"-1,902,955,681","-1,780,453,615","-423,790","-23,689,924","-5,552,315","-75,967","-95,069","-92,714,551","49,549",3%,7/3/22 17:19,COM-0615,USA,Company,,No,Emissions reduction target,30,2018,,2030,In corporate strategy,2021,No target,"Kroger commits to reduce its absolute enterprise-wide greenhouse gas emissions by 30% by 2030, from a 2018 base year.",,"Additional source:
https://www.environmentalleader.com/2020/08/kroger-commits-to-reducing-ghg-emissions-30-by-2030/
",https://www.thekrogerco.com/wp-content/uploads/2021/07/Kroger-2021-ESG-Report.pdf,Carbon dioxide and other GHGs,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Annual reporting,No,Not Specified,Yes,No conditions specified,132.5
Kubota,Agricultural & Farm Machinery,Manufacture of machinery and equipment n.e.c. (29),-1.12%,-10.56%,"-198,002,183","-193,958,915","-45,117","-2,585,954","-601,513","-8,104","-15,012","-788,828","1,261",1%,10/24/21 13:39,COM-0798,JPN,Company,JP3266400005,No,Emissions reduction target,30,2014,,2030,Declaration / pledge,2021,Emissions reduction target,-Reduce CO2 emissions from the Kubota Group in Japan* by 30％ compared to the base year 2014,"In 2020, CO2 emissions of the Kubota Group in Japan* were reduced by 26.3% compared to the base year 2014
",,https://www.kubota.com/sustainability/environment/ghg/index.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,Yes,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Information on the emission reductions expected from these measures within a certain time period",No reporting mechanism,No,Not Specified,,,17.6
Kyocera,Electronic Components,Manufacture of electrical machinery and apparatus n.e.c. (31),-2.19%,-36.69%,"-320,609,297","-310,191,324","-72,797","-4,139,106","-966,230","-13,102","-7,613","-5,224,634","5,509",2%,10/24/21 11:22,COM-0293,JPN,Company,JP3249600002,No,Science-based target,,,,2030,In corporate strategy,2020,No target,Kyocera Corporation (President: Hideo Tanimoto) today announced that the Kyocera Group's target to reduce greenhouse gas (GHG) emissions 30 percent by the year 2030 has received an official endorsement from the Science Based Targets (SBT) initiative.,,,https://global.kyocera.com/news/2019/0602_msol.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,No,,No reporting mechanism,No,Not Specified,Not Specified,,14.7
Kyushu Electric Power Co,Electric Utilities,Production of electricity nec,-42.71%,-973.97%,"-7,770,487,645","-7,597,643,559","-1,915,584","-95,903,365","-22,479,253","-324,685","-2,847,573","-49,606,295","232,669",8%,6/21/22 14:36,COM-1258,JPN,Company,JP3246500007,No,Carbon neutral(ity),,,,2050,In corporate strategy,2021,Emissions reduction target,"""In order to make a significant contribution to the realization of a carbon-neutral society as the industry leader in low-carbon and decarbonization, the Kyuden Group has clarified its goals for 2050, revised its management objectives (environmental objectives) for 2030 upward by backcasting, and formulated an Action Plan containing specific strategies for achieving these targets.
○ Reduction plan for emissions
・Amount of renewable energy developed: 5,000 MW (2030)
・Maximum use of nuclear power with safety as a top priority
・ Lowering the carbon intensity of thermal power
・ Conversion of all company cars to 100% EVs*1
 (2030)
　　*1 Excl. special purpose vehicles
○ Emissions reduction targets
2050 goals:
・ We will reduce greenhouse gas (GHG) emissions across the entire supply chain to ""virtually zero"" during business activities.
・We will contribute to the reduction of GHG emissions in society by promoting a shift to electricity-based energy consumption to the maximum extent possible, providing a stable supply of environmentally-friendly energy, etc.
Through these efforts, the Kyuden Group will achieve “carbon negativity” as early as possible before 2050"" (Integrated Report FY2021 , pg. 64)","""2030 management (environmental) targets:
・ We will reduce supply chain GHG emissions*2 by 60% (compared to FY2013 levels); and by 65% for our domestic business (compared to FY2013 levels) 
*2 Total for Scopes 1, 2, and 3
・ We will contribute to the electrification of Kyushu (Household: 70%; Commercial: 60%)"" (Integrated Report FY2021 , pg. 64)",The Kyushu Electric Power Company (Kyuden) Group refer to the same company. These targets have been set by them. Their 2030 objectives go significantly beyond that announced by the Japanese government.,https://www.kyuden.co.jp/english_ir_library_Integratedreport_2021.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"""Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets...
... the Kyuden Group will achieve “carbon negativity” as early as possible before 2050, 2030 management (environmental) targets:
・ We will reduce supply chain GHG emissions*2 by 60% (compared to FY2013 levels); and by 65% for our domestic business (compared to FY2013 levels)
*2 Total for Scopes 1, 2, and 3"" (Integrated Report FY2021, pg. 64).",Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures|Information on the emission reductions expected from these measures within a certain time period|Measures for all emission scopes that are covered by the target",Annual reporting,Yes,Not Specified,Yes,Other conditions,18.5
